TIME,Last Time and Sales,CA Bid,CA LTP,CA LTQ,CA Ask,CA Bid Qty,CA Ask Qty,HG Bid,HG LTP,HG LTQ,HG Ask,HG Bid Qty,HG Ask Qty,TF,CHINA,USD JPY,CNY JPY,,,,,,,,,,,
15:11:40,3:11:40 PM,13474.00,13476,11.0000,13479.0000,4.0000,11.00,6115.0000,6116.0000,2.00,6116.00,39.00,31.0,,,,,,,,,,,,,,,
15:11:39,3:11:39 PM,13474.00,13476,11.0000,13479.0000,4.0000,11.00,6115.0000,6116.0000,2.00,6116.00,39.00,31.0,,,,,,,,,,,,,,,
15:11:38,3:11:38 PM,13474.00,13476,11.0000,13479.0000,4.0000,11.00,6115.0000,6116.0000,2.00,6116.00,39.00,31.0,,,,,,,,,,,,,,,
15:11:37,3:11:37 PM,13474.00,13476,11.0000,13479.0000,4.0000,11.00,6115.0000,6116.0000,2.00,6116.00,39.00,31.0,,,,,,,,,,,,,,,
15:11:36,3:11:36 PM,13474.00,13476,11.0000,13479.0000,4.0000,11.00,6115.0000,6116.0000,2.00,6116.00,39.00,31.0,,,,,,,,,,,,,,,
15:11:35,3:11:35 PM,13474.00,13476,11.0000,13479.0000,4.0000,11.00,6115.0000,6116.0000,2.00,6116.00,39.00,31.0,,,,,,,,,,,,,,,
15:11:34,3:11:33 PM,13471.00,13472,1.0000,13476.0000,10.0000,13.00,6114.0000,6115.0000,11.00,6115.00,40.00,44.0,,,,,,,,,,,,,,,
15:11:33,3:11:33 PM,13471.00,13472,1.0000,13476.0000,10.0000,13.00,6114.0000,6115.0000,11.00,6115.00,40.00,45.0,,,,,,,,,,,,,,,
15:11:33,3:11:32 PM,13471.00,13472,1.0000,13476.0000,10.0000,13.00,6114.0000,6115.0000,11.00,6115.00,40.00,45.0,,,,,,,,,,,,,,,
15:11:31,3:11:31 PM,13471.00,13472,1.0000,13476.0000,10.0000,13.00,6114.0000,6115.0000,11.00,6115.00,40.00,45.0,,,,,,,,,,,,,,,
15:11:30,3:11:29 PM,13471.00,13472,1.0000,13476.0000,10.0000,13.00,6114.0000,6115.0000,11.00,6115.00,40.00,45.0,,,,,,,,,,,,,,,
15:11:29,3:11:29 PM,13471.00,13472,1.0000,13476.0000,10.0000,13.00,6114.0000,6115.0000,11.00,6115.00,40.00,45.0,,,,,,,,,,,,,,,
15:11:29,3:11:28 PM,13471.00,13472,1.0000,13476.0000,10.0000,13.00,6114.0000,6115.0000,11.00,6115.00,40.00,45.0,,,,,,,,,,,,,,,
15:11:27,3:11:26 PM,13471.00,13472,1.0000,13476.0000,10.0000,12.00,6114.0000,6115.0000,11.00,6115.00,40.00,45.0,,,,,,,,,,,,,,,
15:11:26,3:11:26 PM,13471.00,13472,1.0000,13476.0000,10.0000,12.00,6114.0000,6115.0000,11.00,6115.00,40.00,45.0,,,,,,,,,,,,,,,
15:11:26,3:11:25 PM,13471.00,13472,1.0000,13476.0000,10.0000,12.00,6114.0000,6115.0000,11.00,6115.00,40.00,45.0,,,,,,,,,,,,,,,
15:11:24,3:11:23 PM,13471.00,13472,1.0000,13476.0000,9.0000,13.00,6114.0000,6115.0000,11.00,6115.00,39.00,46.0,,,,,,,,,,,,,,,
15:11:23,3:11:23 PM,13471.00,13472,1.0000,13476.0000,9.0000,13.00,6114.0000,6115.0000,11.00,6115.00,39.00,46.0,,,,,,,,,,,,,,,
15:11:23,3:11:22 PM,13471.00,13472,1.0000,13476.0000,9.0000,13.00,6114.0000,6115.0000,11.00,6115.00,39.00,46.0,,,,,,,,,,,,,,,
15:11:21,3:11:21 PM,13471.00,13472,1.0000,13476.0000,9.0000,13.00,6114.0000,6115.0000,11.00,6115.00,39.00,46.0,,,,,,,,,,,,,,,
15:11:20,3:11:19 PM,13471.00,13472,1.0000,13476.0000,9.0000,13.00,6114.0000,6115.0000,11.00,6115.00,39.00,46.0,,,,,,,,,,,,,,,
15:11:19,3:11:19 PM,13471.00,13472,1.0000,13476.0000,9.0000,13.00,6114.0000,6115.0000,11.00,6115.00,39.00,46.0,,,,,,,,,,,,,,,
15:11:19,3:11:18 PM,13471.00,13472,1.0000,13476.0000,9.0000,13.00,6114.0000,6115.0000,11.00,6115.00,39.00,46.0,,,,,,,,,,,,,,,
15:11:17,3:11:17 PM,13471.00,13472,1.0000,13476.0000,9.0000,13.00,6114.0000,6115.0000,11.00,6115.00,39.00,46.0,,,,,,,,,,,,,,,
15:11:16,3:11:15 PM,13471.00,13472,1.0000,13476.0000,9.0000,13.00,6114.0000,6115.0000,11.00,6115.00,38.00,46.0,,,,,,,,,,,,,,,
15:11:15,3:11:15 PM,13471.00,13472,1.0000,13476.0000,9.0000,13.00,6114.0000,6115.0000,11.00,6115.00,38.00,46.0,,,,,,,,,,,,,,,
15:11:15,3:11:14 PM,13471.00,13472,1.0000,13476.0000,9.0000,13.00,6114.0000,6115.0000,11.00,6115.00,38.00,46.0,,,,,,,,,,,,,,,
15:11:13,3:11:12 PM,13471.00,13472,1.0000,13476.0000,9.0000,13.00,6114.0000,6115.0000,11.00,6115.00,38.00,46.0,,,,,,,,,,,,,,,
15:11:12,3:11:12 PM,13471.00,13472,1.0000,13476.0000,9.0000,13.00,6114.0000,6115.0000,11.00,6115.00,38.00,46.0,,,,,,,,,,,,,,,
15:11:11,3:11:11 PM,13471.00,13472,1.0000,13476.0000,9.0000,12.00,6114.0000,6115.0000,11.00,6115.00,38.00,46.0,,,,,,,,,,,,,,,
15:11:10,3:11:10 PM,13471.00,13472,1.0000,13476.0000,9.0000,12.00,6114.0000,6115.0000,11.00,6115.00,46.00,33.0,,,,,,,,,,,,,,,
15:11:10,3:11:09 PM,13471.00,13472,1.0000,13476.0000,9.0000,12.00,6114.0000,6115.0000,11.00,6115.00,46.00,33.0,,,,,,,,,,,,,,,
15:11:08,3:11:08 PM,13471.00,13472,1.0000,13476.0000,9.0000,12.00,6114.0000,6115.0000,11.00,6115.00,46.00,33.0,,,,,,,,,,,,,,,
15:11:07,3:11:07 PM,13471.00,13472,1.0000,13476.0000,9.0000,12.00,6114.0000,6115.0000,11.00,6115.00,46.00,33.0,,,,,,,,,,,,,,,
15:11:06,3:11:06 PM,13471.00,13472,1.0000,13476.0000,9.0000,12.00,6114.0000,6115.0000,11.00,6115.00,46.00,33.0,,,,,,,,,,,,,,,
15:11:05,3:11:05 PM,13471.00,13472,1.0000,13476.0000,9.0000,12.00,6114.0000,6115.0000,11.00,6115.00,46.00,34.0,,,,,,,,,,,,,,,
15:11:05,3:11:04 PM,13471.00,13472,1.0000,13476.0000,9.0000,12.00,6114.0000,6115.0000,11.00,6115.00,46.00,34.0,,,,,,,,,,,,,,,
15:11:03,3:11:03 PM,13471.00,13472,1.0000,13476.0000,9.0000,12.00,6114.0000,6115.0000,11.00,6115.00,46.00,34.0,,,,,,,,,,,,,,,
15:11:02,3:11:02 PM,13471.00,13472,1.0000,13476.0000,9.0000,12.00,6114.0000,6115.0000,11.00,6115.00,46.00,35.0,,,,,,,,,,,,,,,
15:11:01,3:11:01 PM,13471.00,13472,1.0000,13476.0000,9.0000,12.00,6114.0000,6115.0000,11.00,6115.00,47.00,34.0,,,,,,,,,,,,,,,
15:11:00,3:11:00 PM,13471.00,13472,1.0000,13476.0000,9.0000,12.00,6114.0000,6115.0000,11.00,6115.00,46.00,34.0,,,,,,,,,,,,,,,
15:11:00,3:10:59 PM,13471.00,13472,1.0000,13476.0000,9.0000,12.00,6114.0000,6115.0000,11.00,6115.00,46.00,34.0,,,,,,,,,,,,,,,
15:10:58,3:10:57 PM,13471.00,13472,1.0000,13476.0000,9.0000,12.00,6114.0000,6115.0000,11.00,6115.00,46.00,34.0,,,,,,,,,,,,,,,
15:10:57,3:10:57 PM,13471.00,13472,1.0000,13476.0000,9.0000,12.00,6114.0000,6115.0000,11.00,6115.00,46.00,34.0,,,,,,,,,,,,,,,
15:10:56,3:10:56 PM,13471.00,13472,1.0000,13476.0000,9.0000,12.00,6114.0000,6115.0000,11.00,6115.00,45.00,34.0,,,,,,,,,,,,,,,
15:10:56,3:10:54 PM,13471.00,13472,1.0000,13476.0000,9.0000,12.00,6114.0000,6115.0000,11.00,6115.00,45.00,34.0,,,,,,,,,,,,,,,
15:10:54,3:10:54 PM,13471.00,13472,1.0000,13476.0000,9.0000,12.00,6114.0000,6115.0000,11.00,6115.00,45.00,34.0,,,,,,,,,,,,,,,
15:10:53,3:10:53 PM,13471.00,13472,1.0000,13476.0000,9.0000,11.00,6114.0000,6115.0000,11.00,6115.00,45.00,33.0,,,,,,,,,,,,,,,
